"n_robos","robo_per","valor_m2","ipm","treat_vis","iv_vis","proyectos_a_400m","COD_DANE","proyectos_en_mzn","aptitud_en_mzn","access_trabajo","access_estudio","access_salud","CAT_Pendiente_Escarpado","CAT_EstadoVia_Malo","dist_trans","dist_vias","dependencia"
0,0,340306,0.247,13.9428804991134,0,0,"0500110000000001010328",0,0,0.011098671350306,0.122526585716463,0.183943082754679,0.964290493352634,0.881995993881707,5.0055513567413,6.05738837389923,0.397489539748954
18.1818181818182,0,340306,0.255,14.2046963818518,0,0,"0500110000000001010329",0,0,0.0101654065057588,0.113940741567318,0.168475680656333,0.9983553336481,0.00164466636024961,4.31267623347321,5.89015164999845,0.327272727272727
57.6923076923077,38.4615384615385,340306,0.077,14.3127665630048,0,0,"0500110000000001010331",0,0,3.63198369181386e-82,0.0204210976194105,6.55507465132309e-108,1.00000000001942,0,4.15440908598152,5.70356958343976,0.384615384615385
1.69204737732657,0,253665.040468898,0.198,13.2611237170255,1,0,"0500110000000001010402",0,1,0.0269558896245544,0.328393007168184,2.36439557875047e-06,0.681308191483288,0.809595554564345,5.94862462288362,5.63549942081285,0.424703891708968
2.59067357512953,2.59067357512953,368524.933402945,0.117,13.4936249955219,1,0,"0500110000000001010406",0,0,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.662633618948472,0.997552295973208,5.21527861889757,4.89880800796561,0.432642487046632
0,0,286980.079414065,0.357,13.1368628836658,1,0,"0500110000000001010409",0,1,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.48780296780133,0.796896612126879,6.19319711161875,5.95438007254575,0.493796526054591
0,0,374335,0.169,13.3665137192603,1,0,"0500110000000001010411",0,0,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.521175679581297,0.780670551930371,5.19519242930831,4.46769994579659,0.419230769230769
16.304347826087,0,374335,0.293,13.2422293849236,1,0,"0500110000000001010412",0,1,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.663818951754176,0.610386385888244,5.39360148929515,4.44673162191452,0.369565217391304
35.1437699680511,6.38977635782748,510960.983971543,0.182,13.5441464080397,1,0,"0500110000000001010416",0,1,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.0221467091224876,0.477165966484747,4.50529654020377,4.29147058528887,0.504792332268371
108.695652173913,86.9565217391304,602877,0.174,13.5270632281272,1,0,"0500110000000001010417",0,1,0.028398746204911,0.323856981474759,0.00589040015076105,0.021580717726757,0,4.22898091785077,2.62522694595692,0.543478260869565
15.5038759689922,0,355084.265485942,0.066,13.3843203389723,1,0,"0500110000000001010418",0,0,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.904002128743465,0.999999999982924,5.65763417993795,5.4057751200992,0.472868217054264
0,0,373789.188368679,0.159,13.3311375815557,1,0,"0500110000000001010421",0,0,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.867295515806076,0.960666241573267,5.87500234046551,5.64179725478432,0.424137931034483
0,0,500335.473762009,0.19,13.5481333593031,1,0,"0500110000000001010422",0,0,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.698939960500314,0.215863193104087,5.03379473009813,4.99641036366936,0.468354430379747
35.9281437125749,23.9520958083832,466625.722027018,0.305,13.2613867488203,1,0,"0500110000000001010423",0,1,0.0274778535242001,0.329698848882127,0.000847164979328599,0.668334249045246,0.627856114452897,5.23201234686398,3.46866926314632,0.377245508982036
0,0,232482,0.181,13.2654681963684,1,0,"0500110000000001010426",0,1,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0.392671099777762,0.999999999996937,5.78685138286764,5.43946983953253,0.439276485788114
2.2883295194508,0,327884.373769915,0.238,13.2498911879797,1,0,"0500110000000001010427",0,1,0.027005433039347,0.32860700590929,8.32987242227506e-05,0.907768882605368,0.765748533313025,5.79592012104647,5.22068087370229,0.361556064073227
0,0,589276.332001137,0.163,13.5189150733237,1,0,"0500110000000001010501",0,1,0.0269539161364574,0.328487941706518,8.71623920270868e-121,0,0,3.08792208955147,3.64107937941053,0.423076923076923
15.8730158730159,7.93650793650794,494911.73756745,0.095,13.6696326151304,1,0,"0500110000000001010502",0,1,0.0311478784966885,0.317058713624043,0.0167202223592125,0,0,4.20887798540664,4.72961779388051,0.412698412698413
21.2765957446809,12.7659574468085,488719.677895768,0.094,13.7957172059667,0,0,"0500110000000001010504",0,0,0.0731407414203076,0.202623360322121,0.181719329948391,0,0.365612259549449,3.48353382550455,3.85803254169756,0.425531914893617
3.90625,0,390224.252024446,0.168,13.8094463420035,0,0,"0500110000000001010505",0,1,0.0730926784641579,0.202752326364148,0.183943082754679,0.146079698381695,1.00000000000202,4.7533865126616,4.93919895913634,0.44921875
15.625,15.625,459425.008730423,0.102,13.6559289989051,1,0,"0500110000000001010506",0,1,0.0335338427227102,0.0119609286056547,0.00788327497520053,0,0.981309232679931,5.03338392091553,5.20368364280924,0.4375
8,8,351104.983573686,0.04,13.5930989409854,1,0,"0500110000000001010509",0,1,0.0335338427227102,0.0119609286056547,0.00788327497520053,0,0.926109085241737,5.17620144621466,5.2295252401578,0.472
6.09756097560976,4.0650406504065,374291.369066359,0.175,13.9688581331945,0,0,"0500110000000001010515",0,1,0.0395492335892364,0.0400041876980453,0.028109027605622,0.909383714175872,0.891419715761875,5.24709692317247,5.22363228926092,0.467479674796748
0,0,594142.504673896,0,13.7526426210664,0,0,"0500110000000001010516",0,0,0.0616313362517224,0.182823428807718,0.13824973267979,0,0,3.21225954290176,2.48327821347422,0.422222222222222
