"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,7785876,3,1,4,3,1,1,NA,2
2,"05","001",1,7785900,8,1,3,1,1,1,NA,3
2,"05","001",1,7785926,9,1,4,3,1,1,NA,2
2,"05","001",1,7785949,2,1,4,3,1,1,NA,3
2,"05","001",1,7785967,1,1,4,3,1,1,NA,3
2,"05","001",1,7785988,6,1,2,1,1,1,NA,1
2,"05","001",1,7785995,8,1,4,3,1,1,NA,3
2,"05","001",1,7786015,7,1,5,4,1,1,NA,4
2,"05","001",1,7786050,6,1,4,3,1,1,NA,3
2,"05","001",1,7786076,5,1,4,3,1,1,NA,4
2,"05","001",1,7786098,10,1,4,3,1,1,NA,5
2,"05","001",1,7786130,8,1,2,1,1,1,NA,1
2,"05","001",1,7786140,4,1,4,2,1,1,NA,2
2,"05","001",1,7786145,3,1,4,3,1,1,NA,3
2,"05","001",1,7786159,9,1,4,3,1,1,NA,5
2,"05","001",1,7786161,1,1,4,3,1,1,NA,2
2,"05","001",1,7787195,8,1,3,2,1,1,NA,1
2,"05","001",1,7787200,74,1,4,3,1,1,NA,5
2,"05","001",1,7787219,71,1,4,3,1,1,NA,3
2,"05","001",1,7787238,28,1,3,2,1,1,NA,1
2,"05","001",1,7787262,69,1,4,3,1,1,NA,3
2,"05","001",1,7787289,65,1,3,2,1,1,NA,2
2,"05","001",1,7787312,62,1,3,2,1,1,NA,3
2,"05","001",1,7787341,57,1,3,2,1,1,NA,3
2,"05","001",1,7787345,54,1,3,2,1,1,NA,3
2,"05","001",1,7787352,47,1,2,2,3,1,NA,4
2,"05","001",1,7787356,16,1,3,2,1,1,NA,2
2,"05","001",1,7787375,44,1,3,2,1,1,NA,3
2,"05","001",1,7787405,37,1,4,3,1,1,NA,2
