"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,902167793,1,1,5,3,1,1,NA,3
2,"05","001",1,902167795,1,1,99,99,9,99,NA,1
2,"05","001",1,902167810,1,1,99,99,9,99,NA,1
2,"05","001",1,902167869,1,1,5,4,1,1,NA,5
2,"05","001",1,902167897,1,1,3,3,1,1,NA,5
2,"05","001",1,902167948,1,1,99,99,9,99,NA,1
2,"05","001",1,902167986,1,1,3,2,1,1,NA,4
2,"05","001",1,902168070,1,1,2,2,1,2,NA,4
2,"05","001",1,902168120,1,1,4,2,1,1,NA,2
2,"05","001",1,902168156,1,1,3,3,1,1,NA,3
2,"05","001",1,902168159,1,1,3,1,1,1,NA,1
2,"05","001",1,902168185,1,1,2,2,1,1,NA,2
2,"05","001",1,902168214,1,1,99,99,9,99,NA,1
2,"05","001",1,902168277,1,1,3,3,1,1,NA,4
2,"05","001",1,902168290,1,1,2,1,1,1,NA,2
2,"05","001",1,902168292,1,1,2,2,1,1,NA,6
2,"05","001",1,902168333,1,1,5,2,1,1,NA,3
2,"05","001",1,902168420,1,1,99,99,9,99,NA,1
2,"05","001",1,902168444,1,1,99,99,9,99,NA,1
2,"05","001",1,902168445,1,1,6,3,1,1,NA,2
2,"05","001",1,902168449,1,1,99,99,9,99,NA,1
2,"05","001",1,902168486,1,1,3,2,1,1,NA,3
2,"05","001",1,902168505,1,1,3,3,1,1,NA,1
2,"05","001",1,902168520,1,1,4,3,1,1,NA,3
2,"05","001",1,902168581,1,1,99,99,9,99,NA,1
2,"05","001",1,902168750,1,1,99,99,9,99,NA,1
2,"05","001",1,902168760,1,1,2,1,3,1,NA,1
2,"05","001",1,902168805,1,1,3,2,1,1,NA,3
2,"05","001",1,902168807,1,1,5,2,1,1,NA,3
2,"05","001",1,902168819,1,1,4,3,1,1,NA,1
2,"05","001",1,902168889,1,1,99,99,9,99,NA,1
2,"05","001",1,902168896,1,1,4,3,1,1,NA,4
2,"05","001",1,902168929,1,1,4,2,1,1,NA,2
2,"05","001",1,902168944,1,1,5,2,1,1,NA,3
2,"05","001",1,902168971,1,1,3,3,1,1,NA,1
2,"05","001",1,902168987,1,1,99,99,9,99,NA,1
2,"05","001",1,902168991,1,1,7,4,1,1,NA,4
2,"05","001",1,902169016,1,1,99,99,9,99,NA,1
2,"05","001",1,902169053,1,1,4,3,1,1,NA,3
2,"05","001",1,902169070,1,1,9,7,1,1,NA,8
2,"05","001",1,902169077,1,1,2,2,1,1,NA,2
