"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,15817595,4,1,2,1,1,1,NA,2
2,"05","001",1,15817597,1,1,2,1,1,1,NA,1
2,"05","001",1,15817602,2,1,1,1,1,1,NA,4
2,"05","001",1,15817604,2,1,3,2,1,1,NA,2
2,"05","001",1,15817607,2,1,3,3,1,1,NA,3
2,"05","001",1,15817608,1,1,4,2,1,1,NA,2
2,"05","001",1,15817609,1,1,3,2,1,1,NA,3
2,"05","001",1,15817613,6,1,4,3,1,1,NA,2
2,"05","001",1,15817616,1,1,5,4,1,1,NA,4
2,"05","001",1,15817618,1,1,5,3,1,1,NA,4
2,"05","001",1,15817624,4,1,3,1,1,1,NA,1
2,"05","001",1,15817625,3,1,3,2,1,1,NA,1
2,"05","001",1,15817626,1,1,4,3,1,1,NA,3
2,"05","001",1,15817628,5,1,4,3,1,1,NA,4
2,"05","001",1,15817630,1,1,3,3,1,1,NA,3
2,"05","001",1,15817631,1,1,1,1,1,1,NA,4
2,"05","001",1,15817636,5,1,5,4,1,1,NA,5
2,"05","001",1,15817637,3,1,4,2,1,1,NA,2
2,"05","001",1,15817643,4,1,4,2,1,1,NA,3
2,"05","001",1,15817648,1,1,5,4,1,1,NA,3
2,"05","001",1,15817649,1,1,4,4,1,1,NA,6
2,"05","001",1,15817651,1,1,3,2,1,1,NA,6
2,"05","001",1,15817654,1,1,4,3,1,1,NA,2
2,"05","001",1,15817655,2,1,3,2,1,1,NA,2
2,"05","001",1,15817656,2,1,3,2,1,1,NA,2
2,"05","001",1,15817660,2,1,3,2,1,1,NA,4
2,"05","001",1,15817662,5,1,3,2,1,1,NA,3
2,"05","001",1,15817664,5,1,3,2,1,1,NA,4
2,"05","001",1,15817665,2,1,3,2,1,1,NA,2
2,"05","001",1,15817666,4,1,2,2,1,1,NA,2
2,"05","001",1,15817669,1,1,3,2,1,1,NA,6
2,"05","001",1,15817670,1,1,3,2,1,1,NA,3
2,"05","001",1,15817672,1,1,3,2,1,1,NA,2
2,"05","001",1,15817673,1,1,3,2,1,1,NA,3
2,"05","001",1,15817678,3,1,2,1,1,1,NA,2
2,"05","001",1,15817679,3,1,4,3,1,1,NA,4
2,"05","001",1,15817682,3,1,3,1,1,1,NA,1
2,"05","001",1,15817683,5,1,4,3,1,1,NA,3
2,"05","001",1,15817684,3,1,3,2,1,1,NA,3
2,"05","001",1,15817685,4,1,3,2,1,1,NA,2
2,"05","001",1,15817686,1,1,2,2,1,1,NA,3
2,"05","001",1,15817688,4,1,3,2,1,1,NA,2
2,"05","001",1,15817689,1,1,3,2,1,1,1,4
2,"05","001",1,15817690,2,1,1,1,1,1,NA,3
