"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,14589622,4,1,3,2,1,1,NA,3
2,"05","001",1,14589636,2,1,6,3,1,1,NA,3
2,"05","001",1,14589639,4,1,5,3,1,1,NA,3
2,"05","001",1,14589804,4,1,2,1,3,99,NA,1
2,"05","001",1,14589813,3,1,5,4,1,1,NA,4
2,"05","001",1,14589839,1,1,4,2,1,1,NA,3
2,"05","001",1,14589865,6,1,4,3,1,1,NA,2
2,"05","001",1,14589871,1,1,4,3,1,1,NA,3
2,"05","001",1,14589881,1,1,3,3,1,1,NA,4
2,"05","001",1,14589892,6,1,3,3,1,1,NA,5
2,"05","001",1,14589895,7,1,3,1,1,1,NA,2
2,"05","001",1,14589905,2,1,5,3,1,1,NA,5
2,"05","001",1,14589916,2,1,4,2,1,1,NA,2
2,"05","001",1,14589920,1,1,5,4,1,1,NA,4
2,"05","001",1,14589927,5,1,3,2,1,1,NA,1
2,"05","001",1,14589934,2,1,5,4,1,1,NA,5
2,"05","001",1,14589950,1,1,3,2,1,1,NA,4
2,"05","001",1,14589953,3,1,6,3,1,1,1,3
2,"05","001",1,14589962,1,1,4,1,1,1,NA,1
2,"05","001",1,14589964,3,1,3,2,1,1,NA,2
2,"05","001",1,14589965,4,1,4,3,1,1,NA,3
2,"05","001",1,14589972,6,1,4,3,1,1,NA,4
2,"05","001",1,14589980,2,1,4,3,1,1,NA,3
2,"05","001",1,14589984,1,1,2,1,1,1,NA,2
2,"05","001",1,14589989,1,1,5,3,1,1,NA,3
2,"05","001",1,14589995,2,1,5,2,1,1,NA,2
2,"05","001",1,14590003,1,1,5,1,1,1,NA,1
2,"05","001",1,14590011,1,1,5,2,1,1,NA,1
2,"05","001",1,14590012,8,1,3,1,1,1,NA,2
2,"05","001",1,14590013,3,1,4,3,1,2,NA,5
2,"05","001",1,14590021,6,1,3,2,1,1,NA,4
2,"05","001",1,14590034,7,1,2,1,1,1,NA,1
2,"05","001",1,14590039,5,1,2,1,1,1,NA,1
2,"05","001",1,14590049,4,1,3,2,1,1,NA,2
2,"05","001",1,14590056,3,1,2,1,1,1,NA,2
2,"05","001",1,14590057,4,1,3,1,1,1,NA,1
2,"05","001",1,14590063,2,1,3,1,1,1,NA,1
2,"05","001",1,14590066,3,1,3,2,1,1,NA,2
2,"05","001",1,14590075,1,1,5,1,1,1,NA,1
2,"05","001",1,14590080,3,1,4,4,1,1,NA,3
2,"05","001",1,14590080,3,2,4,2,1,1,NA,3
2,"05","001",1,14590097,3,1,5,3,1,1,NA,3
2,"05","001",1,14590117,1,1,6,4,1,1,NA,4
2,"05","001",1,14590138,5,1,4,2,1,1,NA,1
2,"05","001",1,14590138,5,2,4,2,1,1,NA,1
2,"05","001",1,14590549,47,1,3,3,1,1,NA,3
2,"05","001",1,14590556,15,1,4,3,1,1,NA,3
2,"05","001",1,14590569,4,1,4,1,1,1,NA,1
2,"05","001",1,14590577,9,1,3,1,1,1,NA,2
2,"05","001",1,14590587,11,1,3,1,1,1,NA,1
2,"05","001",1,14590596,1,1,3,2,1,1,NA,4
2,"05","001",1,14590616,3,1,3,2,1,1,NA,4
2,"05","001",1,14590637,4,1,4,3,1,1,NA,3
2,"05","001",1,14590656,6,1,1,1,1,1,NA,1
2,"05","001",1,14590671,14,1,4,3,1,1,NA,4
2,"05","001",1,14590685,9,1,4,2,1,1,NA,2
2,"05","001",1,14590706,8,1,3,2,1,1,NA,2
2,"05","001",1,14590731,39,1,4,3,1,1,NA,3
2,"05","001",1,14590752,34,1,4,3,1,1,NA,3
2,"05","001",1,14590778,24,1,4,1,1,1,NA,2
2,"05","001",1,14590795,15,1,2,1,1,1,NA,1
2,"05","001",1,14590801,6,1,4,3,1,1,NA,4
2,"05","001",1,14590817,2,1,3,1,1,1,NA,1
2,"05","001",1,14590829,7,1,5,4,1,1,NA,4
2,"05","001",1,14591306,3,1,1,1,1,1,NA,2
2,"05","001",1,14591326,2,1,3,2,1,1,NA,4
2,"05","001",1,14591362,3,1,3,2,1,1,NA,4
2,"05","001",1,14591413,1,1,3,2,1,1,NA,6
2,"05","001",1,14591454,3,1,3,2,1,1,NA,3
2,"05","001",1,14591485,16,1,4,3,1,1,NA,5
2,"05","001",1,14591526,4,1,4,3,1,1,NA,6
2,"05","001",1,14591529,12,1,3,2,1,1,NA,2
2,"05","001",1,14591549,44,1,3,2,1,1,NA,3
2,"05","001",1,14591561,3,1,2,1,1,1,NA,4
2,"05","001",1,14591563,1,1,4,3,1,1,NA,4
2,"05","001",1,14591568,41,1,4,3,1,1,NA,3
2,"05","001",1,14591573,40,1,4,3,1,1,NA,3
2,"05","001",1,14591580,3,1,2,1,1,1,NA,5
2,"05","001",1,14591583,37,1,4,3,1,1,NA,3
2,"05","001",1,14591584,4,1,2,1,1,1,NA,3
2,"05","001",1,14591594,36,1,4,3,1,1,NA,4
2,"05","001",1,14591598,3,1,2,1,1,1,NA,2
2,"05","001",1,14591599,3,1,2,1,1,1,NA,4
2,"05","001",1,14591607,34,1,4,2,1,1,NA,2
2,"05","001",1,14591610,7,1,4,3,1,1,NA,5
2,"05","001",1,14591616,33,1,3,2,1,1,NA,3
2,"05","001",1,14591621,1,1,1,1,1,1,NA,7
2,"05","001",1,14591621,1,2,1,1,1,1,NA,1
2,"05","001",1,14591621,1,3,1,1,1,1,NA,6
2,"05","001",1,14591631,30,1,3,2,1,1,NA,2
2,"05","001",1,14591643,7,1,3,2,1,1,NA,1
2,"05","001",1,14591645,4,1,4,3,1,1,NA,6
2,"05","001",1,14591656,6,1,3,2,1,1,NA,1
2,"05","001",1,14591664,5,1,4,3,1,1,NA,3
2,"05","001",1,14591675,4,1,4,2,1,1,NA,2
2,"05","001",1,14591677,4,1,4,3,1,1,NA,2
2,"05","001",1,14591684,3,1,3,2,1,1,NA,2
2,"05","001",1,14591690,6,1,3,2,1,1,NA,2
2,"05","001",1,14591694,2,1,4,3,1,1,NA,5
2,"05","001",1,14591698,2,1,1,1,1,1,NA,2
2,"05","001",1,14591708,8,1,4,3,1,1,NA,5
2,"05","001",1,14591712,7,1,1,1,1,1,NA,2
2,"05","001",1,14591713,27,1,3,2,1,1,NA,2
2,"05","001",1,14591724,26,1,2,1,1,1,NA,3
2,"05","001",1,14591728,3,1,1,1,1,1,NA,1
2,"05","001",1,14591728,3,2,1,1,1,1,NA,1
