"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,17229042,8,1,3,2,1,1,NA,4
2,"05","001",1,17229045,16,1,3,2,1,1,NA,3
2,"05","001",1,17229046,137,1,4,3,1,1,NA,3
2,"05","001",1,17229051,30,1,4,3,1,1,NA,2
2,"05","001",1,17229052,53,1,4,2,1,1,NA,1
2,"05","001",1,17229067,2,1,3,2,1,1,NA,1
2,"05","001",1,17229068,32,1,4,3,1,1,NA,4
2,"05","001",1,17229073,49,1,4,2,1,1,NA,1
2,"05","001",1,17229074,1,1,4,3,1,1,NA,2
2,"05","001",1,17229077,17,1,3,2,1,1,NA,3
2,"05","001",1,17229080,1,1,3,2,1,1,NA,3
2,"05","001",1,17229081,36,1,5,3,1,1,NA,4
2,"05","001",1,17229089,28,1,4,3,1,1,NA,3
2,"05","001",1,17229091,14,1,3,2,1,1,NA,2
2,"05","001",1,17229094,5,1,4,3,1,1,NA,2
2,"05","001",1,17229097,5,1,1,1,1,1,NA,1
2,"05","001",1,17229104,18,1,3,2,1,1,NA,3
2,"05","001",1,17229105,35,1,2,2,3,1,NA,3
2,"05","001",1,17229108,36,1,4,3,1,1,NA,4
2,"05","001",1,17229109,12,1,1,1,1,1,NA,1
2,"05","001",1,17229110,7,1,4,3,1,1,NA,3
2,"05","001",1,17229113,36,1,4,2,1,1,NA,3
2,"05","001",1,17229114,4,1,4,3,1,1,NA,3
2,"05","001",1,17229118,10,1,1,1,1,1,NA,1
2,"05","001",1,17229119,19,1,3,2,1,1,NA,3
2,"05","001",1,17229125,37,1,3,1,1,1,NA,2
2,"05","001",1,17229126,3,1,1,1,1,1,NA,1
2,"05","001",1,17229127,41,1,4,3,1,1,NA,4
2,"05","001",1,17229128,39,1,5,3,1,1,NA,5
2,"05","001",1,17229134,22,1,3,2,1,1,NA,2
