"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,10651779,2,1,2,2,1,1,NA,3
2,"05","001",1,10651780,3,1,4,2,1,1,NA,4
2,"05","001",1,10651781,4,1,5,4,1,1,NA,4
2,"05","001",1,10651782,9,1,2,1,1,1,NA,4
2,"05","001",1,10651783,3,1,4,3,1,1,NA,2
2,"05","001",1,10651784,2,1,3,2,1,1,NA,3
2,"05","001",1,10651785,17,1,4,2,1,1,NA,2
2,"05","001",1,10651786,21,1,1,1,2,1,NA,1
2,"05","001",1,10651787,1,1,3,2,1,1,NA,4
2,"05","001",1,10651788,10,1,2,1,1,1,NA,1
2,"05","001",1,10651789,2,1,3,3,1,1,NA,2
2,"05","001",1,10651789,2,2,3,3,1,1,NA,3
2,"05","001",1,10651790,4,1,5,2,1,1,NA,3
2,"05","001",1,10651791,8,1,2,1,1,1,NA,2
2,"05","001",1,10651792,13,1,3,2,1,1,NA,4
2,"05","001",1,10651793,8,1,3,2,1,1,NA,4
2,"05","001",1,10651794,2,1,4,3,1,1,NA,2
2,"05","001",1,10651795,3,1,4,3,1,1,NA,4
2,"05","001",1,10651796,3,1,2,1,1,1,NA,4
2,"05","001",1,10651797,1,1,3,2,1,1,NA,1
2,"05","001",1,10651798,9,1,2,1,1,1,NA,2
2,"05","001",1,10651800,3,1,3,2,1,1,NA,4
2,"05","001",1,10651801,7,1,3,2,1,1,NA,4
2,"05","001",1,10651802,5,1,3,2,1,1,NA,4
2,"05","001",1,10651803,1,1,4,3,1,1,NA,2
2,"05","001",1,10651804,5,1,1,1,1,1,NA,2
2,"05","001",1,10651805,1,1,8,6,1,1,NA,4
2,"05","001",1,10651807,21,1,3,2,1,1,NA,1
2,"05","001",1,10651808,5,1,1,1,2,1,NA,3
2,"05","001",1,10651809,2,1,2,1,1,1,NA,2
2,"05","001",1,10651810,4,1,2,2,1,1,NA,4
2,"05","001",1,10651811,18,1,3,2,1,1,NA,3
2,"05","001",1,10651812,8,1,4,3,1,1,NA,2
2,"05","001",1,10651813,6,1,4,3,1,1,NA,4
2,"05","001",1,10651814,6,1,1,1,2,1,NA,3
2,"05","001",1,10651816,12,1,3,2,1,1,NA,4
2,"05","001",1,10651817,2,1,8,6,1,1,NA,3
2,"05","001",1,10651820,3,1,2,2,1,1,NA,4
2,"05","001",1,10651822,3,1,4,3,1,1,NA,3
2,"05","001",1,10651823,5,1,2,1,3,1,NA,3
2,"05","001",1,10651824,1,1,3,2,1,1,NA,2
2,"05","001",1,10651824,1,2,1,1,1,1,NA,1
2,"05","001",1,10651825,13,1,3,2,1,1,NA,3
2,"05","001",1,10651829,3,1,3,1,1,1,NA,1
2,"05","001",1,10651833,9,1,2,1,1,1,NA,1
2,"05","001",1,10651835,4,1,1,1,2,1,NA,1
2,"05","001",1,10651836,9,1,4,2,1,1,NA,3
2,"05","001",1,10651839,3,1,3,2,1,1,NA,3
2,"05","001",1,10651841,3,1,3,1,1,1,NA,2
2,"05","001",1,10651842,5,1,7,6,1,1,NA,7
2,"05","001",1,10651843,2,1,4,3,1,1,NA,1
2,"05","001",1,10651846,3,1,3,2,1,1,NA,3
2,"05","001",1,10651851,3,1,4,3,1,1,NA,3
2,"05","001",1,10651854,4,1,2,1,1,1,NA,3
2,"05","001",1,10651856,4,1,2,1,1,1,NA,1
2,"05","001",1,10651858,5,1,2,1,1,1,NA,1
2,"05","001",1,10651861,2,1,4,3,1,1,NA,3
2,"05","001",1,10651867,8,1,1,1,1,1,NA,1
2,"05","001",1,10651868,16,1,3,3,1,1,NA,3
2,"05","001",1,10651869,3,1,3,2,1,1,NA,3
2,"05","001",1,10651875,4,1,2,1,1,1,NA,2
2,"05","001",1,10651881,3,1,1,1,2,1,NA,1
2,"05","001",1,10651885,4,1,2,2,1,1,NA,2
2,"05","001",1,10651889,8,1,1,1,2,1,NA,2
2,"05","001",1,10651893,8,1,4,3,1,1,NA,5
2,"05","001",1,10651901,5,1,3,2,1,1,NA,5
2,"05","001",1,10651917,4,1,2,2,1,1,NA,2
