"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,4139605,2,1,3,3,1,1,NA,5
2,"05","001",1,4139726,6,1,1,1,1,1,NA,3
2,"05","001",1,4139732,1,1,3,3,1,1,NA,5
2,"05","001",1,4139740,13,1,1,1,1,1,NA,3
2,"05","001",1,4139749,8,1,2,2,1,1,NA,4
2,"05","001",1,4139758,7,1,3,3,1,1,NA,6
2,"05","001",1,4139761,1,1,2,2,1,1,NA,3
2,"05","001",1,4139767,21,1,1,1,1,1,NA,2
2,"05","001",1,4139775,1,1,1,1,1,1,NA,1
2,"05","001",1,4139776,12,1,1,1,1,1,NA,2
2,"05","001",1,4139788,11,1,1,1,1,1,NA,1
2,"05","001",1,4139791,2,1,2,2,1,1,NA,3
2,"05","001",1,4139794,12,1,1,1,1,1,NA,2
2,"05","001",1,4139800,7,1,1,1,1,1,NA,4
2,"05","001",1,4139811,3,1,5,4,1,1,NA,6
2,"05","001",1,4139812,1,1,3,3,1,1,NA,2
2,"05","001",1,4139816,17,1,1,1,1,1,NA,2
2,"05","001",1,4139821,22,1,1,1,1,1,NA,1
2,"05","001",1,4139827,12,1,1,1,2,1,NA,1
2,"05","001",1,4139830,2,1,2,2,1,1,NA,3
2,"05","001",1,4139833,11,1,1,1,1,1,NA,1
2,"05","001",1,4139837,24,1,1,1,1,1,NA,3
2,"05","001",1,4139847,18,1,1,1,1,1,NA,1
2,"05","001",1,4139849,2,1,2,2,1,1,NA,3
2,"05","001",1,4139875,1,1,2,2,1,1,NA,1
2,"05","001",1,4139890,1,1,1,1,2,3,NA,1
2,"05","001",1,4139906,3,1,1,1,2,3,NA,3
2,"05","001",1,4139934,3,1,5,4,1,1,NA,5
2,"05","001",1,4139936,1,1,1,1,1,1,NA,1
2,"05","001",1,4139948,1,1,1,1,2,1,NA,1
2,"05","001",1,4139957,1,1,1,1,2,1,NA,4
2,"05","001",1,4139964,2,1,1,1,2,1,NA,1
2,"05","001",1,4139974,2,1,4,3,1,1,NA,5
2,"05","001",1,4139982,1,1,1,1,2,1,NA,2
2,"05","001",1,4139992,1,1,1,1,1,1,NA,4
2,"05","001",1,4140003,1,1,4,3,1,1,NA,2
2,"05","001",1,4140018,5,1,1,1,2,1,NA,1
