"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,12624424,8,1,4,3,1,1,NA,4
2,"05","001",1,12624424,8,2,2,2,1,1,NA,4
2,"05","001",1,12624432,4,1,3,2,1,1,NA,3
2,"05","001",1,12624439,15,1,4,3,1,1,NA,4
2,"05","001",1,12624440,1,1,1,1,2,1,NA,1
2,"05","001",1,12624444,2,1,3,2,1,1,NA,5
2,"05","001",1,12624445,2,1,1,1,2,1,NA,4
2,"05","001",1,12624448,8,1,2,2,1,1,NA,3
2,"05","001",1,12624453,7,1,2,2,1,1,NA,3
2,"05","001",1,12624457,5,1,3,2,1,1,NA,2
2,"05","001",1,12624460,1,1,4,3,1,1,NA,5
2,"05","001",1,12624461,5,1,1,1,1,1,NA,2
2,"05","001",1,12624464,7,1,3,2,1,1,NA,3
2,"05","001",1,12624465,4,1,1,1,6,NA,NA,2
2,"05","001",1,12624465,4,2,2,2,1,1,NA,3
2,"05","001",1,12624469,6,1,2,2,1,1,NA,4
2,"05","001",1,12624475,5,1,2,1,1,1,NA,3
2,"05","001",1,12624477,4,1,3,2,1,1,NA,3
2,"05","001",1,12624481,6,1,2,2,2,1,NA,4
2,"05","001",1,12624483,2,1,3,2,1,1,NA,5
2,"05","001",1,12624485,3,1,2,1,1,1,NA,1
2,"05","001",1,12624488,8,1,3,2,1,1,NA,3
2,"05","001",1,12624493,2,1,3,2,1,1,NA,3
2,"05","001",1,12624499,16,1,1,1,1,1,NA,1
2,"05","001",1,12624504,1,1,3,1,1,1,NA,2
2,"05","001",1,12624506,4,1,3,2,1,1,NA,5
2,"05","001",1,12624507,12,1,1,1,6,NA,NA,1
2,"05","001",1,12624510,12,1,1,1,1,1,NA,1
2,"05","001",1,12624517,1,1,3,1,1,1,NA,3
