"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,3626,4,1,4,2,1,1,NA,5
2,"05","001",1,3629,2,1,4,3,1,1,NA,3
2,"05","001",1,3630,1,1,3,2,1,1,NA,3
2,"05","001",1,3630,1,2,3,2,1,1,NA,4
2,"05","001",1,3632,6,1,3,2,1,1,NA,3
2,"05","001",1,3634,9,1,3,2,1,1,NA,2
2,"05","001",1,3635,6,1,3,2,1,1,NA,1
2,"05","001",1,3636,10,1,3,2,1,1,NA,3
2,"05","001",1,3640,1,1,3,2,1,1,NA,2
2,"05","001",1,3641,5,1,2,2,1,1,NA,3
2,"05","001",1,3642,3,1,2,2,1,1,NA,4
2,"05","001",1,3646,5,1,2,2,1,1,NA,5
2,"05","001",1,3646,5,2,1,1,1,1,NA,4
2,"05","001",1,3649,6,1,3,2,1,1,NA,1
2,"05","001",1,3652,1,1,3,2,1,1,NA,2
2,"05","001",1,3653,7,1,3,2,1,1,NA,3
2,"05","001",1,3655,5,1,5,2,1,1,NA,2
2,"05","001",1,3658,38,1,3,2,1,1,NA,1
2,"05","001",1,3658,38,2,3,2,1,1,NA,1
2,"05","001",1,3658,38,3,3,2,1,1,NA,1
2,"05","001",1,3658,38,4,3,2,1,1,NA,1
2,"05","001",1,3658,38,5,3,2,1,1,NA,1
2,"05","001",1,3658,38,6,3,2,1,1,1,5
2,"05","001",1,3662,40,1,4,3,1,1,NA,4
2,"05","001",1,3662,40,2,2,1,1,1,NA,1
2,"05","001",1,3662,40,3,4,3,1,1,NA,5
2,"05","001",1,3666,39,1,3,2,4,1,NA,1
2,"05","001",1,3671,9,1,4,3,1,1,NA,3
2,"05","001",1,3672,17,1,2,1,6,NA,NA,1
2,"05","001",1,3674,6,1,3,2,1,1,NA,4
2,"05","001",1,3675,28,1,4,1,1,1,NA,2
2,"05","001",1,3678,18,1,2,2,2,1,NA,3
2,"05","001",1,3688,2,1,4,3,1,1,NA,5
2,"05","001",1,3692,5,1,5,4,1,1,NA,3
2,"05","001",1,3694,15,1,3,3,1,1,NA,1
2,"05","001",1,3695,19,1,3,3,1,1,NA,3
2,"05","001",1,3696,7,1,5,4,1,1,NA,6
2,"05","001",1,3697,1,1,4,3,1,1,NA,4
2,"05","001",1,3698,46,1,4,1,1,1,NA,3
2,"05","001",1,3699,45,1,4,3,1,1,NA,5
2,"05","001",1,3700,37,1,4,3,1,1,NA,2
2,"05","001",1,3701,19,1,4,2,1,1,NA,3
2,"05","001",1,3702,22,1,4,3,1,1,NA,4
2,"05","001",1,3703,20,1,3,3,1,1,NA,7
2,"05","001",1,3707,1,1,4,2,1,1,NA,2
2,"05","001",1,3708,1,1,2,1,1,1,NA,4
2,"05","001",1,3710,1,1,2,2,1,1,NA,4
2,"05","001",1,3711,1,1,2,1,1,1,NA,4
2,"05","001",1,3713,1,1,3,2,1,1,NA,2
2,"05","001",1,3715,2,1,3,3,1,1,NA,4
2,"05","001",1,3716,1,1,2,2,1,1,NA,5
2,"05","001",1,3719,3,1,3,2,1,1,NA,3
2,"05","001",1,3721,1,1,2,2,2,3,NA,4
2,"05","001",1,3723,5,1,2,2,1,1,NA,3
2,"05","001",1,3724,6,1,5,4,1,1,NA,5
2,"05","001",1,3781,7,1,2,2,1,1,NA,4
2,"05","001",1,3784,8,1,4,3,1,1,NA,4
2,"05","001",1,3787,3,1,4,3,1,1,NA,4
2,"05","001",1,3788,2,1,7,4,1,1,NA,4
2,"05","001",1,3789,1,1,4,2,1,1,NA,3
2,"05","001",1,3792,6,1,2,2,1,1,NA,5
2,"05","001",1,3794,5,1,3,2,1,1,NA,4
2,"05","001",1,3796,6,1,2,1,1,1,NA,2
2,"05","001",1,3798,1,1,4,2,1,1,NA,2
2,"05","001",1,3799,6,1,4,3,1,1,1,1
2,"05","001",1,3801,3,1,4,2,1,1,NA,2
2,"05","001",1,3806,7,1,5,4,1,1,NA,9
2,"05","001",1,3813,4,1,5,4,1,1,NA,2
2,"05","001",1,3815,7,1,1,1,2,1,NA,2
2,"05","001",1,3817,2,1,3,2,1,1,NA,2
2,"05","001",1,3822,3,1,4,3,1,1,NA,5
2,"05","001",1,3824,12,1,3,2,1,1,NA,1
2,"05","001",1,3826,11,1,4,3,1,1,NA,5
2,"05","001",1,3828,2,1,5,4,1,1,NA,8
2,"05","001",1,3833,1,1,4,3,1,1,NA,4
2,"05","001",1,3834,20,1,4,3,1,1,NA,4
2,"05","001",1,3837,13,1,3,2,1,1,NA,2
2,"05","001",1,3839,12,1,4,3,1,1,1,4
2,"05","001",1,3841,2,1,4,2,1,1,NA,3
2,"05","001",1,3842,1,1,4,3,1,1,NA,4
2,"05","001",1,3845,14,1,3,1,1,1,NA,2
2,"05","001",1,3849,2,1,4,3,1,1,NA,7
2,"05","001",1,3853,4,1,4,2,1,1,NA,2
2,"05","001",1,3855,3,1,2,2,1,1,NA,3
2,"05","001",1,3855,3,2,2,2,1,1,NA,4
2,"05","001",1,3860,4,1,1,1,1,1,NA,1
2,"05","001",1,3862,5,1,3,2,1,1,NA,4
2,"05","001",1,3865,8,1,4,3,1,1,NA,4
2,"05","001",1,3869,5,1,3,2,1,1,NA,2
2,"05","001",1,3873,1,1,3,2,1,1,NA,3
2,"05","001",1,3880,1,1,2,2,1,1,NA,3
2,"05","001",1,3882,5,1,3,2,1,1,NA,4
2,"05","001",1,3884,6,1,3,2,1,1,NA,2
2,"05","001",1,3886,4,1,5,4,1,1,NA,4
2,"05","001",1,3889,5,1,2,2,1,1,NA,3
2,"05","001",1,3891,4,1,3,2,1,1,NA,1
2,"05","001",1,3897,1,1,3,3,1,1,NA,4
2,"05","001",1,3899,6,1,4,2,1,1,NA,3
2,"05","001",1,3901,3,1,3,3,1,1,NA,5
2,"05","001",1,3904,2,1,3,2,1,1,NA,3
2,"05","001",1,3907,2,1,3,3,1,1,NA,6
2,"05","001",1,3909,12,1,3,1,1,1,NA,2
2,"05","001",1,3912,8,1,2,2,1,1,NA,4
2,"05","001",1,3914,1,1,2,2,1,1,NA,7
2,"05","001",1,3917,11,1,3,3,1,1,NA,4
2,"05","001",1,3918,6,1,4,4,1,1,NA,6
2,"05","001",1,3920,1,1,2,1,1,1,NA,2
2,"05","001",1,3922,4,1,4,2,1,1,NA,2
2,"05","001",1,3924,3,1,3,2,1,1,NA,5
2,"05","001",1,3925,4,1,3,2,1,1,NA,5
2,"05","001",1,3927,2,1,3,2,1,1,NA,4
2,"05","001",1,3929,15,1,3,2,1,1,NA,4
2,"05","001",1,3936,8,1,1,1,2,1,NA,2
2,"05","001",1,3937,1,1,2,2,1,1,NA,5
2,"05","001",1,3942,9,1,4,3,1,1,NA,7
2,"05","001",1,3944,7,1,2,1,1,1,NA,2
2,"05","001",1,3946,6,1,6,2,1,1,NA,3
2,"05","001",1,4251,2,1,4,3,1,1,NA,3
2,"05","001",1,4252,11,1,5,4,1,1,NA,5
2,"05","001",1,4254,12,1,2,1,3,1,NA,8
2,"05","001",1,4256,1,1,5,3,1,1,NA,5
2,"05","001",1,4257,16,1,4,3,1,1,NA,6
2,"05","001",1,4259,4,1,4,2,1,1,NA,1
2,"05","001",1,4260,1,1,3,3,1,1,NA,3
2,"05","001",1,4262,2,1,2,2,1,1,NA,2
2,"05","001",1,4264,2,1,2,1,1,1,NA,3
2,"05","001",1,4264,2,2,2,1,1,1,NA,3
2,"05","001",1,4265,3,1,1,1,1,1,NA,1
2,"05","001",1,4267,1,1,3,3,1,1,NA,1
2,"05","001",1,4267,1,2,3,3,1,1,NA,1
2,"05","001",1,4267,1,3,2,2,1,1,NA,3
2,"05","001",1,4267,1,4,2,2,1,1,NA,3
2,"05","001",1,4267,1,5,3,3,1,1,NA,1
2,"05","001",1,4269,2,1,4,2,1,1,NA,4
2,"05","001",1,4271,5,1,3,3,1,1,NA,4
2,"05","001",1,4273,4,1,3,3,1,1,NA,4
2,"05","001",1,4274,2,1,1,1,1,1,NA,3
2,"05","001",1,4279,5,1,4,3,1,1,NA,4
2,"05","001",1,4280,7,1,5,4,1,1,NA,4
2,"05","001",1,4284,6,1,3,2,1,1,NA,3
2,"05","001",1,4285,2,1,3,2,1,1,NA,2
2,"05","001",1,4287,7,1,4,3,1,1,NA,1
2,"05","001",1,4288,9,1,4,3,1,1,NA,4
2,"05","001",1,4290,8,1,4,3,1,1,NA,1
2,"05","001",1,4295,3,1,3,1,1,1,NA,3
2,"05","001",1,4298,8,1,3,2,1,1,NA,4
2,"05","001",1,4299,5,1,5,3,1,1,NA,4
2,"05","001",1,4301,4,1,3,3,1,1,NA,5
2,"05","001",1,4302,9,1,8,3,1,1,NA,4
2,"05","001",1,4302,9,2,8,6,1,1,NA,7
2,"05","001",1,4306,3,1,2,2,1,1,NA,6
2,"05","001",1,4308,6,1,5,3,6,NA,NA,1
2,"05","001",1,4308,6,2,8,2,1,1,NA,5
2,"05","001",1,4308,6,3,5,3,6,NA,NA,1
2,"05","001",1,4308,6,4,5,3,1,1,NA,2
2,"05","001",1,4310,7,1,6,4,1,1,NA,9
2,"05","001",1,4311,6,1,4,3,1,1,NA,1
2,"05","001",1,4313,9,1,4,4,1,1,NA,10
2,"05","001",1,4315,1,1,3,2,1,1,NA,2
2,"05","001",1,4316,2,1,4,3,1,1,NA,3
2,"05","001",1,4318,2,1,3,3,1,1,NA,8
2,"05","001",1,4319,10,1,2,2,1,1,NA,3
2,"05","001",1,4323,10,1,1,1,1,1,NA,2
2,"05","001",1,4326,9,1,3,3,1,1,NA,1
2,"05","001",1,4328,2,1,3,3,1,1,NA,4
2,"05","001",1,4329,3,1,3,2,1,1,NA,3
2,"05","001",1,4332,1,1,5,4,3,1,NA,5
2,"05","001",1,4334,2,1,5,3,1,1,NA,4
2,"05","001",1,4335,2,1,3,2,1,1,NA,7
2,"05","001",1,4336,3,1,4,3,1,1,NA,4
2,"05","001",1,4337,6,1,3,2,3,1,NA,4
2,"05","001",1,4338,5,1,3,2,1,1,NA,4
2,"05","001",1,4340,3,1,3,2,1,1,NA,7
2,"05","001",1,4342,5,1,3,2,1,1,1,2
2,"05","001",1,4342,5,2,5,4,1,1,NA,4
2,"05","001",1,4344,2,1,3,2,1,1,NA,3
2,"05","001",1,4346,11,1,2,1,1,1,NA,2
2,"05","001",1,4347,10,1,4,3,1,1,NA,6
2,"05","001",1,4348,7,1,1,1,2,1,NA,1
2,"05","001",1,4349,11,1,3,2,3,1,NA,4
2,"05","001",1,4351,9,1,1,1,2,1,NA,1
2,"05","001",1,4352,9,1,2,1,1,1,NA,1
2,"05","001",1,4353,1,1,4,3,3,1,NA,5
2,"05","001",1,4354,9,1,2,2,1,1,NA,5
2,"05","001",1,4360,1,1,1,1,2,1,NA,4
2,"05","001",1,4362,20,1,3,2,1,1,NA,5
2,"05","001",1,4363,2,1,3,2,1,1,NA,4
2,"05","001",1,4366,13,1,1,1,2,1,NA,3
2,"05","001",1,4367,5,1,1,1,1,1,1,2
2,"05","001",1,4369,5,1,1,1,6,NA,NA,1
2,"05","001",1,4370,12,1,2,1,1,1,NA,3
2,"05","001",1,4371,7,1,4,2,1,1,NA,6
2,"05","001",1,4372,6,1,4,2,1,1,NA,3
2,"05","001",1,4374,1,1,3,2,1,1,NA,4
2,"05","001",1,4375,7,1,2,1,1,1,NA,2
2,"05","001",1,4378,2,1,1,1,1,1,NA,3
2,"05","001",1,4379,4,1,3,2,1,1,NA,8
2,"05","001",1,4381,1,1,3,2,3,1,NA,3
2,"05","001",1,4383,4,1,3,1,1,1,NA,2
2,"05","001",1,4384,3,1,2,1,1,1,NA,4
2,"05","001",1,4386,1,1,3,2,1,1,NA,2
2,"05","001",1,4387,10,1,2,1,1,1,NA,2
2,"05","001",1,4388,1,1,2,1,1,1,NA,3
2,"05","001",1,4389,1,1,4,3,1,1,NA,4
2,"05","001",1,4390,9,1,3,2,1,1,NA,6
2,"05","001",1,4392,1,1,4,3,1,1,NA,3
2,"05","001",1,4393,1,1,3,2,1,1,NA,1
2,"05","001",1,4394,2,1,4,3,1,1,NA,7
2,"05","001",1,4396,1,1,3,2,1,1,NA,4
2,"05","001",1,4399,1,1,2,1,1,1,NA,2
2,"05","001",1,4401,2,1,4,3,1,1,NA,4
2,"05","001",1,4402,4,1,4,3,1,1,NA,3
2,"05","001",1,4404,8,1,3,2,1,1,NA,5
2,"05","001",1,4405,9,1,4,3,1,1,NA,4
2,"05","001",1,4407,3,1,2,2,1,1,NA,4
2,"05","001",1,4408,1,1,2,1,1,1,NA,1
2,"05","001",1,4409,4,1,4,4,1,1,NA,1
2,"05","001",1,4410,11,1,4,3,1,1,NA,4
2,"05","001",1,4411,11,1,4,2,1,1,NA,2
2,"05","001",1,4413,29,1,3,3,3,1,NA,4
2,"05","001",1,4414,18,1,4,2,1,1,NA,3
2,"05","001",1,4415,44,1,4,2,1,1,NA,3
2,"05","001",1,4417,38,1,3,2,1,1,NA,1
2,"05","001",1,4418,28,1,4,3,1,1,NA,1
2,"05","001",1,4419,36,1,4,3,1,1,NA,3
2,"05","001",1,4420,6,1,4,3,1,1,NA,5
2,"05","001",1,4421,20,1,4,2,1,1,NA,2
2,"05","001",1,4422,21,1,4,3,1,1,NA,2
2,"05","001",1,4426,2,1,4,4,1,1,NA,9
2,"05","001",1,4429,1,1,3,3,1,1,NA,1
2,"05","001",1,4430,2,1,3,3,1,1,NA,4
2,"05","001",1,4434,1,1,4,3,1,1,NA,4
2,"05","001",1,4436,2,1,3,2,1,1,NA,2
2,"05","001",1,4438,1,1,1,1,1,1,NA,1
2,"05","001",1,4439,7,1,3,1,1,1,NA,1
2,"05","001",1,4440,6,1,4,3,3,1,NA,3
2,"05","001",1,4442,1,1,4,3,1,1,NA,5
2,"05","001",1,4444,4,1,3,2,1,1,NA,4
2,"05","001",1,4446,2,1,5,3,1,1,NA,3
2,"05","001",1,4452,1,1,3,2,1,1,NA,4
2,"05","001",1,4455,1,1,4,2,3,1,NA,3
2,"05","001",1,4457,8,1,3,2,1,1,NA,2
2,"05","001",1,4458,2,1,6,4,1,1,NA,4
2,"05","001",1,4461,10,1,2,1,1,1,NA,2
2,"05","001",1,4463,3,1,2,1,1,1,NA,1
2,"05","001",1,4464,9,1,3,2,1,1,NA,4
2,"05","001",1,4464,9,2,4,3,1,1,NA,4
2,"05","001",1,4469,12,1,1,1,2,2,NA,1
2,"05","001",1,4714,13,1,3,2,1,1,NA,4
2,"05","001",1,4717,26,1,6,4,1,1,NA,9
2,"05","001",1,4720,9,1,3,2,1,1,NA,1
2,"05","001",1,4723,18,1,3,2,1,1,NA,4
2,"05","001",1,4728,5,1,5,4,1,1,NA,5
2,"05","001",1,4730,14,1,2,1,1,1,NA,5
2,"05","001",1,4732,15,1,1,1,2,1,NA,3
2,"05","001",1,4734,11,1,2,1,2,1,NA,6
2,"05","001",1,4737,29,1,3,3,3,1,NA,4
2,"05","001",1,4741,28,1,4,2,1,1,1,2
2,"05","001",1,4745,7,1,4,2,1,1,NA,3
2,"05","001",1,4748,1,1,3,3,1,1,NA,7
2,"05","001",1,4750,5,1,1,1,1,1,NA,1
2,"05","001",1,4751,3,1,2,2,1,1,NA,2
2,"05","001",1,4753,5,1,3,2,1,1,NA,4
2,"05","001",1,4757,3,1,1,1,1,1,NA,2
2,"05","001",1,4758,2,1,4,3,1,1,NA,3
2,"05","001",1,4760,1,1,5,3,1,1,NA,9
2,"05","001",1,4763,3,1,3,2,1,1,NA,3
2,"05","001",1,4766,1,1,2,1,1,1,NA,3
2,"05","001",1,4769,1,1,3,2,1,1,NA,2
2,"05","001",1,9297,11,1,4,2,1,1,NA,4
2,"05","001",1,9298,2,1,3,3,1,1,NA,4
